item_id,title,price,domain_id,brand
MLA1109813451,Smart Tv Samsung Series 7 Un43au7000gczb Led 4k 43  220v - 240v,124999.0,MLA-TELEVISIONS,Samsung
MLA1148941757,Smart Tv Samsung Series 7 Un55au7000gczb Led 4k 55  220v - 240v,159999.0,MLA-TELEVISIONS,Samsung
MLA1230825310,Smart Tv Samsung Neo Qled 4k Qn55qn85bagczb Qled 4k 55  220v - 240v,379999.0,MLA-TELEVISIONS,Samsung
MLA1117022246,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50  220v - 240v,112499.0,MLA-TELEVISIONS,Samsung
MLA1150947007,Smart Tv Tcl P725-series 55p725 Dled 4k 55  100v/240v,127999.0,MLA-TELEVISIONS,TCL
MLA1121120748,Smart Tv LG Ai Thinq 43up7750psb Lcd 4k 43  100v/240v,92999.0,MLA-TELEVISIONS,LG
MLA1191626668,Smart Tv Philips 7000 Series 55pud7406/77 Led 4k 55  110v/240v,135999.0,MLA-TELEVISIONS,Philips
MLA1130878792,Smart Tv Philips 7000 Series 50pud7406/77 Led 4k 50  110v/240v,93999.0,MLA-TELEVISIONS,Philips
MLA1160387206,Smart Tv Hitachi Cdh-le504ksmart21-f Led 4k 50  220v,102499.0,MLA-TELEVISIONS,Hitachi
MLA1242349279,Smart Tv LG Ai Thinq 60up7750psb Lcd 4k 60  100v/240v,229999.0,MLA-TELEVISIONS,LG
MLA1150229470,Smart Tv Philips 55pud7906/77 Led 4k 55  110v/240v,159999.0,MLA-TELEVISIONS,Philips
MLA1150190526,Smart Tv Philips 65pud7906/77 Led 4k 65  110v/240v,236999.0,MLA-TELEVISIONS,Philips
MLA1121199270,Smart Tv LG Ai Thinq 50up7750psb Lcd 4k 50  100v/240v,134899.0,MLA-TELEVISIONS,LG
MLA1259399353,Smart Tv Tcl L55p615 Led 4k 55  100v/240v,115999.0,MLA-TELEVISIONS,TCL
MLA1258884059,Smart Tv Tcl C72-series 50c725 Qled 4k 50  100v/240v,134999.0,MLA-TELEVISIONS,TCL
